number,prize
871778,1st
249962,2nd
448780,2nd
499322,2nd
000304,3rd
029762,3rd
062984,3rd
094311,3rd
129578,3rd
158051,3rd
193066,3rd
226177,3rd
254183,3rd
286255,3rd
314663,3rd
000653,3rd
031339,3rd
063201,3rd
094385,3rd
129777,3rd
158331,3rd
194188,3rd
226979,3rd
254408,3rd
287618,3rd
315047,3rd
001013,3rd
032576,3rd
063657,3rd
095065,3rd
129851,3rd
158709,3rd
195231,3rd
227156,3rd
254980,3rd
287956,3rd
315074,3rd
001422,3rd
032645,3rd
064459,3rd
096202,3rd
130632,3rd
160176,3rd
195505,3rd
229482,3rd
254984,3rd
288026,3rd
315177,3rd
001688,3rd
033842,3rd
065310,3rd
096902,3rd
130747,3rd
160242,3rd
195551,3rd
229969,3rd
255545,3rd
288399,3rd
315603,3rd
003375,3rd
034065,3rd
067017,3rd
098083,3rd
130750,3rd
160409,3rd
197047,3rd
231350,3rd
255700,3rd
288877,3rd
316084,3rd
003475,3rd
034451,3rd
067865,3rd
098195,3rd
131184,3rd
160581,3rd
197936,3rd
231731,3rd
256052,3rd
289035,3rd
316501,3rd
003496,3rd
037189,3rd
068387,3rd
098899,3rd
131305,3rd
160728,3rd
199907,3rd
232149,3rd
256208,3rd
289455,3rd
316993,3rd
003647,3rd
037759,3rd
068830,3rd
099094,3rd
131648,3rd
162489,3rd
200732,3rd
233114,3rd
256614,3rd
289546,3rd
317131,3rd
006130,3rd
037900,3rd
069289,3rd
099181,3rd
131805,3rd
162600,3rd
201104,3rd
233333,3rd
256773,3rd
289965,3rd
317401,3rd
006300,3rd
038232,3rd
069739,3rd
101146,3rd
132057,3rd
162610,3rd
201164,3rd
233769,3rd
257032,3rd
290013,3rd
317527,3rd
006530,3rd
038234,3rd
070346,3rd
101279,3rd
132707,3rd
163244,3rd
201302,3rd
233793,3rd
257191,3rd
290617,3rd
317624,3rd
007477,3rd
038563,3rd
070651,3rd
101744,3rd
133483,3rd
163670,3rd
201521,3rd
234657,3rd
257580,3rd
291408,3rd
320822,3rd
007814,3rd
038621,3rd
071870,3rd
102112,3rd
133634,3rd
164510,3rd
201538,3rd
235283,3rd
258031,3rd
292169,3rd
320992,3rd
008170,3rd
038679,3rd
072113,3rd
102273,3rd
135458,3rd
165758,3rd
202188,3rd
235942,3rd
258372,3rd
292828,3rd
322166,3rd
008299,3rd
041008,3rd
072712,3rd
102872,3rd
137515,3rd
165919,3rd
202887,3rd
236309,3rd
258892,3rd
293428,3rd
322298,3rd
008366,3rd
041039,3rd
074330,3rd
102976,3rd
137822,3rd
166902,3rd
203868,3rd
236397,3rd
258982,3rd
294008,3rd
323223,3rd
008389,3rd
041251,3rd
074971,3rd
103298,3rd
138383,3rd
167957,3rd
204617,3rd
236981,3rd
259307,3rd
294014,3rd
323493,3rd
008665,3rd
041573,3rd
075052,3rd
103461,3rd
139165,3rd
167961,3rd
204762,3rd
237328,3rd
260322,3rd
294618,3rd
323864,3rd
010657,3rd
042055,3rd
075179,3rd
104210,3rd
139407,3rd
168242,3rd
205363,3rd
237375,3rd
262309,3rd
294999,3rd
324569,3rd
013554,3rd
042675,3rd
075570,3rd
104298,3rd
140691,3rd
168344,3rd
205399,3rd
237478,3rd
262596,3rd
296036,3rd
325548,3rd
013814,3rd
042861,3rd
075687,3rd
105136,3rd
140977,3rd
169268,3rd
205709,3rd
238141,3rd
263547,3rd
296459,3rd
326886,3rd
014166,3rd
042994,3rd
076106,3rd
105231,3rd
141120,3rd
170851,3rd
206042,3rd
238551,3rd
264725,3rd
296747,3rd
326909,3rd
014501,3rd
043199,3rd
076372,3rd
106096,3rd
142163,3rd
171136,3rd
206652,3rd
239310,3rd
265161,3rd
296840,3rd
327183,3rd
014785,3rd
043333,3rd
077076,3rd
106779,3rd
142881,3rd
172379,3rd
209391,3rd
239394,3rd
266324,3rd
296841,3rd
328586,3rd
015493,3rd
044831,3rd
077880,3rd
107744,3rd
143156,3rd
174224,3rd
210256,3rd
240072,3rd
267526,3rd
296964,3rd
329435,3rd
015501,3rd
045610,3rd
078515,3rd
107811,3rd
143947,3rd
174588,3rd
210337,3rd
241095,3rd
267708,3rd
298205,3rd
330432,3rd
015644,3rd
045780,3rd
078754,3rd
108306,3rd
144240,3rd
175220,3rd
210450,3rd
241430,3rd
269325,3rd
298912,3rd
330538,3rd
015692,3rd
046002,3rd
079423,3rd
109909,3rd
144813,3rd
175225,3rd
210723,3rd
242351,3rd
269331,3rd
299800,3rd
330937,3rd
016442,3rd
047086,3rd
079485,3rd
111921,3rd
145389,3rd
178744,3rd
210798,3rd
243827,3rd
269910,3rd
300838,3rd
331605,3rd
017231,3rd
047204,3rd
079899,3rd
114701,3rd
145424,3rd
179866,3rd
211176,3rd
243986,3rd
271645,3rd
301382,3rd
332359,3rd
017447,3rd
047987,3rd
080029,3rd
114764,3rd
145643,3rd
180235,3rd
211222,3rd
244184,3rd
272097,3rd
302241,3rd
332880,3rd
017742,3rd
048167,3rd
080218,3rd
115151,3rd
145729,3rd
180560,3rd
211778,3rd
244205,3rd
272792,3rd
302580,3rd
333002,3rd
018746,3rd
048322,3rd
080463,3rd
115290,3rd
146100,3rd
181205,3rd
212922,3rd
244294,3rd
272880,3rd
302941,3rd
334317,3rd
019358,3rd
048725,3rd
080837,3rd
115400,3rd
146409,3rd
181400,3rd
212924,3rd
244523,3rd
272976,3rd
304065,3rd
334353,3rd
019588,3rd
048732,3rd
081710,3rd
116968,3rd
147320,3rd
181898,3rd
213064,3rd
244642,3rd
274836,3rd
305015,3rd
334386,3rd
021292,3rd
051422,3rd
082086,3rd
119727,3rd
147634,3rd
182865,3rd
213165,3rd
244986,3rd
275583,3rd
305225,3rd
334529,3rd
022937,3rd
051614,3rd
083892,3rd
121481,3rd
147904,3rd
183781,3rd
213493,3rd
246306,3rd
275989,3rd
306461,3rd
335592,3rd
023018,3rd
051708,3rd
084541,3rd
122335,3rd
148878,3rd
185215,3rd
214338,3rd
247071,3rd
276648,3rd
306795,3rd
335671,3rd
023114,3rd
051732,3rd
085555,3rd
122672,3rd
149501,3rd
185258,3rd
215219,3rd
247805,3rd
276818,3rd
307011,3rd
336950,3rd
024811,3rd
052555,3rd
085668,3rd
122803,3rd
150432,3rd
185772,3rd
216525,3rd
249028,3rd
277558,3rd
307579,3rd
337568,3rd
025570,3rd
053304,3rd
086442,3rd
123293,3rd
150576,3rd
185812,3rd
217748,3rd
249129,3rd
278898,3rd
307886,3rd
337621,3rd
025915,3rd
053701,3rd
087838,3rd
123346,3rd
152288,3rd
186040,3rd
218796,3rd
249700,3rd
280024,3rd
307901,3rd
337864,3rd
026149,3rd
053721,3rd
088286,3rd
123928,3rd
152651,3rd
186703,3rd
218819,3rd
250878,3rd
281587,3rd
310570,3rd
337872,3rd
026586,3rd
056159,3rd
090109,3rd
123978,3rd
152712,3rd
188015,3rd
219001,3rd
251346,3rd
282266,3rd
310777,3rd
338155,3rd
026851,3rd
056282,3rd
091234,3rd
124003,3rd
152930,3rd
189842,3rd
219881,3rd
251647,3rd
283279,3rd
310863,3rd
340040,3rd
026995,3rd
057635,3rd
091293,3rd
124240,3rd
153097,3rd
189876,3rd
220161,3rd
251690,3rd
283579,3rd
310976,3rd
340885,3rd
027032,3rd
058445,3rd
091541,3rd
124714,3rd
154727,3rd
189912,3rd
220203,3rd
251727,3rd
283954,3rd
311094,3rd
340887,3rd
027175,3rd
059215,3rd
091641,3rd
126923,3rd
156114,3rd
190917,3rd
220543,3rd
253068,3rd
285284,3rd
311798,3rd
340969,3rd
029065,3rd
060324,3rd
092058,3rd
126992,3rd
156903,3rd
190923,3rd
225228,3rd
253071,3rd
285507,3rd
312013,3rd
341406,3rd
029069,3rd
060956,3rd
092217,3rd
127379,3rd
157176,3rd
191517,3rd
225539,3rd
253169,3rd
285714,3rd
312397,3rd
341601,3rd
029679,3rd
061683,3rd
092669,3rd
128676,3rd
157493,3rd
191953,3rd
225943,3rd
253241,3rd
286176,3rd
312622,3rd
341671,3rd
342678,3rd
367562,3rd
396916,3rd
426518,3rd
458532,3rd
490257,3rd
517942,3rd
550797,3rd
583904,3rd
618694,3rd
652002,3rd
342747,3rd
368073,3rd
396934,3rd
426628,3rd
460381,3rd
490364,3rd
518723,3rd
552960,3rd
584012,3rd
619315,3rd
652027,3rd
342881,3rd
368600,3rd
397293,3rd
429042,3rd
460393,3rd
491072,3rd
518933,3rd
553560,3rd
584626,3rd
620144,3rd
652200,3rd
343101,3rd
368987,3rd
397838,3rd
429416,3rd
461433,3rd
491204,3rd
519365,3rd
553869,3rd
585225,3rd
620316,3rd
652732,3rd
343184,3rd
369964,3rd
398775,3rd
429517,3rd
461580,3rd
491409,3rd
519842,3rd
554473,3rd
585988,3rd
620510,3rd
653431,3rd
343842,3rd
370561,3rd
399359,3rd
429650,3rd
462186,3rd
491797,3rd
519990,3rd
554891,3rd
586558,3rd
620676,3rd
655205,3rd
344601,3rd
372560,3rd
400422,3rd
430142,3rd
463001,3rd
492009,3rd
520931,3rd
555334,3rd
587839,3rd
620963,3rd
655260,3rd
344867,3rd
374560,3rd
400977,3rd
430638,3rd
463319,3rd
492868,3rd
521131,3rd
557727,3rd
587892,3rd
621662,3rd
655507,3rd
345141,3rd
374847,3rd
402859,3rd
430829,3rd
463704,3rd
493465,3rd
521360,3rd
558311,3rd
588174,3rd
622171,3rd
656939,3rd
345229,3rd
375114,3rd
403025,3rd
431091,3rd
463947,3rd
495741,3rd
522993,3rd
559059,3rd
589046,3rd
622857,3rd
