number,prize
024132,1st
026284,2nd
355420,2nd
407321,2nd
000040,3rd
028615,3rd
052200,3rd
091819,3rd
120339,3rd
152185,3rd
000108,3rd
029769,3rd
054135,3rd
092002,3rd
120638,3rd
152972,3rd
001049,3rd
029786,3rd
055444,3rd
092006,3rd
124354,3rd
153384,3rd
001988,3rd
030893,3rd
055819,3rd
092189,3rd
124602,3rd
154393,3rd
002469,3rd
031959,3rd
055895,3rd
092783,3rd
125146,3rd
154482,3rd
003587,3rd
032054,3rd
057305,3rd
093326,3rd
126098,3rd
154887,3rd
003918,3rd
032247,3rd
057950,3rd
093597,3rd
126567,3rd
154905,3rd
004268,3rd
032909,3rd
061168,3rd
094496,3rd
126768,3rd
154984,3rd
005169,3rd
032942,3rd
061554,3rd
095740,3rd
127343,3rd
155034,3rd
005675,3rd
033792,3rd
061667,3rd
096183,3rd
127369,3rd
156040,3rd
006687,3rd
034050,3rd
061849,3rd
096893,3rd
127753,3rd
156163,3rd
006714,3rd
034170,3rd
063262,3rd
098841,3rd
128286,3rd
157964,3rd
007285,3rd
034515,3rd
064041,3rd
099578,3rd
128631,3rd
158234,3rd
007294,3rd
034852,3rd
064404,3rd
099720,3rd
129606,3rd
158902,3rd
008895,3rd
035179,3rd
065109,3rd
101030,3rd
129627,3rd
159411,3rd
009406,3rd
035291,3rd
065492,3rd
101338,3rd
131416,3rd
161085,3rd
010100,3rd
035762,3rd
066473,3rd
101587,3rd
131740,3rd
162774,3rd
011106,3rd
036120,3rd
068678,3rd
101836,3rd
132007,3rd
163521,3rd
011148,3rd
036435,3rd
068837,3rd
101841,3rd
132048,3rd
163959,3rd
012404,3rd
036666,3rd
070176,3rd
101933,3rd
132578,3rd
164208,3rd
012546,3rd
037283,3rd
071156,3rd
102228,3rd
133450,3rd
164665,3rd
012759,3rd
037408,3rd
071176,3rd
103353,3rd
134237,3rd
164903,3rd
013194,3rd
037625,3rd
071345,3rd
103633,3rd
135111,3rd
165465,3rd
013451,3rd
038446,3rd
071941,3rd
103783,3rd
137268,3rd
165607,3rd
014561,3rd
038725,3rd
072072,3rd
104551,3rd
137277,3rd
166056,3rd
014894,3rd
039715,3rd
072257,3rd
104722,3rd
137522,3rd
166174,3rd
015088,3rd
040144,3rd
073586,3rd
104860,3rd
137532,3rd
166753,3rd
015488,3rd
040765,3rd
073954,3rd
105525,3rd
137741,3rd
168155,3rd
015525,3rd
041067,3rd
074249,3rd
106069,3rd
137860,3rd
168265,3rd
015620,3rd
041461,3rd
074912,3rd
106417,3rd
138031,3rd
168513,3rd
016450,3rd
041589,3rd
075668,3rd
106626,3rd
138803,3rd
170163,3rd
018215,3rd
041665,3rd
077457,3rd
106963,3rd
139094,3rd
170571,3rd
018263,3rd
042096,3rd
077926,3rd
106997,3rd
139456,3rd
171457,3rd
019006,3rd
042253,3rd
080870,3rd
109308,3rd
139804,3rd
171467,3rd
019632,3rd
043841,3rd
080930,3rd
109577,3rd
141026,3rd
171782,3rd
019660,3rd
043854,3rd
081202,3rd
109588,3rd
142439,3rd
171994,3rd
019803,3rd
044120,3rd
081365,3rd
110413,3rd
142918,3rd
172665,3rd
019855,3rd
044217,3rd
081816,3rd
110909,3rd
143054,3rd
172738,3rd
019875,3rd
044972,3rd
081950,3rd
111112,3rd
143698,3rd
176183,3rd
019952,3rd
045937,3rd
082194,3rd
111960,3rd
143733,3rd
176380,3rd
020068,3rd
046557,3rd
083194,3rd
112262,3rd
144112,3rd
176596,3rd
021899,3rd
046735,3rd
084545,3rd
112456,3rd
144155,3rd
177273,3rd
022811,3rd
047074,3rd
085169,3rd
112824,3rd
144172,3rd
178176,3rd
022822,3rd
048510,3rd
085765,3rd
113279,3rd
145512,3rd
178472,3rd
023096,3rd
049262,3rd
085908,3rd
113285,3rd
145525,3rd
179521,3rd
023191,3rd
049403,3rd
085921,3rd
114271,3rd
146812,3rd
181888,3rd
023382,3rd
049612,3rd
085971,3rd
114915,3rd
147124,3rd
181939,3rd
024153,3rd
049978,3rd
087090,3rd
115181,3rd
147466,3rd
182169,3rd
024796,3rd
050083,3rd
087510,3rd
115584,3rd
148107,3rd
182532,3rd
025662,3rd
050131,3rd
088004,3rd
117732,3rd
150186,3rd
182909,3rd
025734,3rd
050466,3rd
088474,3rd
118420,3rd
150799,3rd
183174,3rd
026923,3rd
051878,3rd
089304,3rd
118463,3rd
151247,3rd
183815,3rd
184398,3rd
218554,3rd
252042,3rd
286791,3rd
313066,3rd
184659,3rd
218819,3rd
252775,3rd
288249,3rd
313290,3rd
185230,3rd
219178,3rd
252959,3rd
289124,3rd
314775,3rd
185471,3rd
219433,3rd
254565,3rd
289666,3rd
314953,3rd
186212,3rd
219671,3rd
256081,3rd
289984,3rd
316222,3rd
187874,3rd
222226,3rd
256116,3rd
290462,3rd
316716,3rd
188336,3rd
222379,3rd
257894,3rd
291129,3rd
316885,3rd
188373,3rd
222579,3rd
258312,3rd
291534,3rd
318080,3rd
188880,3rd
222879,3rd
259473,3rd
291831,3rd
318169,3rd
189005,3rd
224390,3rd
259746,3rd
292183,3rd
318942,3rd
190434,3rd
224962,3rd
259776,3rd
292244,3rd
319480,3rd
191742,3rd
225610,3rd
261421,3rd
292647,3rd
320496,3rd
193787,3rd
226530,3rd
261798,3rd
292988,3rd
320617,3rd
194246,3rd
227022,3rd
262220,3rd
295277,3rd
321205,3rd
195134,3rd
227507,3rd
262724,3rd
295329,3rd
321678,3rd
195490,3rd
227983,3rd
263777,3rd
295342,3rd
321687,3rd
195530,3rd
228070,3rd
264072,3rd
296060,3rd
322957,3rd
196433,3rd
228086,3rd
264731,3rd
296414,3rd
322983,3rd
198208,3rd
228406,3rd
266387,3rd
296492,3rd
323253,3rd
200169,3rd
228803,3rd
267595,3rd
297102,3rd
323374,3rd
200193,3rd
229042,3rd
267799,3rd
297157,3rd
323920,3rd
