number,prize
402432,1st
543452,2nd
764165,2nd
814653,2nd
000222,3rd
033530,3rd
056693,3rd
079715,3rd
112543,3rd
135096,3rd
172189,3rd
201778,3rd
227808,3rd
254233,3rd
283352,3rd
000526,3rd
033712,3rd
056737,3rd
082924,3rd
112794,3rd
135676,3rd
172490,3rd
202336,3rd
228770,3rd
254238,3rd
283542,3rd
000687,3rd
034793,3rd
056849,3rd
084004,3rd
113028,3rd
135863,3rd
172754,3rd
202353,3rd
228792,3rd
254995,3rd
283807,3rd
000724,3rd
034817,3rd
057260,3rd
084625,3rd
113270,3rd
136504,3rd
173505,3rd
202757,3rd
229281,3rd
255428,3rd
285622,3rd
001871,3rd
034886,3rd
057493,3rd
084869,3rd
113687,3rd
137405,3rd
174080,3rd
204480,3rd
229547,3rd
255521,3rd
288509,3rd
001891,3rd
035460,3rd
058044,3rd
084992,3rd
114046,3rd
137877,3rd
174678,3rd
205828,3rd
229569,3rd
255864,3rd
289964,3rd
002345,3rd
035497,3rd
058100,3rd
085474,3rd
114430,3rd
138699,3rd
175737,3rd
205836,3rd
230259,3rd
259390,3rd
290144,3rd
003939,3rd
035683,3rd
058893,3rd
086101,3rd
115753,3rd
139039,3rd
176954,3rd
207039,3rd
231315,3rd
259557,3rd
290404,3rd
005295,3rd
036373,3rd
059076,3rd
086777,3rd
116324,3rd
139784,3rd
177235,3rd
207235,3rd
231397,3rd
259598,3rd
290634,3rd
005636,3rd
038529,3rd
059451,3rd
087948,3rd
116386,3rd
139870,3rd
178168,3rd
207601,3rd
231589,3rd
260712,3rd
291546,3rd
005710,3rd
038908,3rd
059953,3rd
088027,3rd
117141,3rd
140508,3rd
178308,3rd
207734,3rd
231626,3rd
261398,3rd
292076,3rd
006336,3rd
039110,3rd
059980,3rd
088147,3rd
118154,3rd
141788,3rd
178613,3rd
208848,3rd
231832,3rd
263142,3rd
292123,3rd
007181,3rd
039583,3rd
060228,3rd
089508,3rd
118295,3rd
142603,3rd
178878,3rd
209080,3rd
232330,3rd
263207,3rd
292504,3rd
007352,3rd
039645,3rd
060420,3rd
089707,3rd
119094,3rd
142614,3rd
179188,3rd
209591,3rd
232410,3rd
263607,3rd
292737,3rd
007816,3rd
040120,3rd
060663,3rd
089919,3rd
119334,3rd
143305,3rd
179398,3rd
210401,3rd
233360,3rd
263728,3rd
294653,3rd
007904,3rd
040570,3rd
061202,3rd
089986,3rd
119978,3rd
144399,3rd
180148,3rd
210403,3rd
233775,3rd
264022,3rd
295442,3rd
008325,3rd
040589,3rd
061766,3rd
091536,3rd
120027,3rd
144591,3rd
182400,3rd
211062,3rd
234033,3rd
265044,3rd
295942,3rd
009302,3rd
041291,3rd
061790,3rd
091876,3rd
120062,3rd
147075,3rd
183222,3rd
211067,3rd
235432,3rd
265195,3rd
296535,3rd
009789,3rd
041452,3rd
061892,3rd
092645,3rd
120311,3rd
148030,3rd
183303,3rd
211412,3rd
235964,3rd
267334,3rd
297056,3rd
010622,3rd
041669,3rd
062161,3rd
093546,3rd
120578,3rd
148963,3rd
185006,3rd
211621,3rd
236540,3rd
267423,3rd
297788,3rd
011164,3rd
042507,3rd
062365,3rd
093923,3rd
121054,3rd
149038,3rd
185524,3rd
211629,3rd
237339,3rd
268055,3rd
297996,3rd
011535,3rd
043336,3rd
062560,3rd
094422,3rd
121159,3rd
149175,3rd
185607,3rd
214059,3rd
237634,3rd
268284,3rd
298044,3rd
011800,3rd
043353,3rd
062621,3rd
094488,3rd
121625,3rd
149299,3rd
185636,3rd
214791,3rd
237983,3rd
268560,3rd
298164,3rd
012160,3rd
044346,3rd
063238,3rd
094788,3rd
123374,3rd
149389,3rd
186381,3rd
215067,3rd
238884,3rd
268685,3rd
298170,3rd
012411,3rd
045525,3rd
063532,3rd
095162,3rd
123605,3rd
150120,3rd
188971,3rd
216223,3rd
239128,3rd
270943,3rd
298848,3rd
014666,3rd
045822,3rd
063950,3rd
095712,3rd
123810,3rd
150252,3rd
189000,3rd
217642,3rd
239453,3rd
270980,3rd
300087,3rd
015966,3rd
046112,3rd
064296,3rd
096001,3rd
124091,3rd
150692,3rd
189223,3rd
217643,3rd
239514,3rd
271364,3rd
300898,3rd
016142,3rd
046184,3rd
064357,3rd
096504,3rd
124299,3rd
152143,3rd
189915,3rd
217980,3rd
239929,3rd
271629,3rd
302079,3rd
016687,3rd
047630,3rd
064843,3rd
096576,3rd
124754,3rd
152294,3rd
190604,3rd
218044,3rd
240420,3rd
272028,3rd
302336,3rd
016991,3rd
048589,3rd
065129,3rd
097286,3rd
127238,3rd
152650,3rd
190881,3rd
218357,3rd
240759,3rd
272080,3rd
303786,3rd
017616,3rd
048639,3rd
065722,3rd
097467,3rd
128002,3rd
155307,3rd
191006,3rd
218530,3rd
240858,3rd
272430,3rd
304978,3rd
018076,3rd
049326,3rd
065919,3rd
098912,3rd
128235,3rd
156124,3rd
191015,3rd
218568,3rd
241964,3rd
272490,3rd
305332,3rd
018096,3rd
049470,3rd
066686,3rd
099663,3rd
128767,3rd
157962,3rd
191068,3rd
218722,3rd
242554,3rd
272550,3rd
305636,3rd
019255,3rd
049651,3rd
066803,3rd
099717,3rd
129065,3rd
158476,3rd
191331,3rd
219144,3rd
242621,3rd
272716,3rd
305932,3rd
019295,3rd
049944,3rd
067024,3rd
099750,3rd
129230,3rd
158483,3rd
191587,3rd
220236,3rd
243834,3rd
273150,3rd
306464,3rd
019870,3rd
050064,3rd
067245,3rd
100198,3rd
129327,3rd
158862,3rd
192908,3rd
220992,3rd
244934,3rd
273421,3rd
307787,3rd
020217,3rd
050493,3rd
068017,3rd
101162,3rd
130184,3rd
160464,3rd
192981,3rd
221205,3rd
245120,3rd
273823,3rd
307952,3rd
022115,3rd
050730,3rd
068303,3rd
102275,3rd
130534,3rd
162437,3rd
194058,3rd
221629,3rd
245676,3rd
274724,3rd
308227,3rd
022504,3rd
051058,3rd
069027,3rd
102370,3rd
130869,3rd
162926,3rd
195520,3rd
221850,3rd
245813,3rd
274894,3rd
308373,3rd
024453,3rd
052443,3rd
069748,3rd
103645,3rd
131381,3rd
163108,3rd
195699,3rd
221900,3rd
246653,3rd
275380,3rd
308385,3rd
025194,3rd
052926,3rd
069885,3rd
104109,3rd
131462,3rd
164016,3rd
195998,3rd
222238,3rd
247030,3rd
276063,3rd
308551,3rd
025909,3rd
053078,3rd
070210,3rd
105017,3rd
131898,3rd
164095,3rd
196112,3rd
222407,3rd
248164,3rd
276177,3rd
308575,3rd
026427,3rd
053123,3rd
072926,3rd
106262,3rd
132900,3rd
164318,3rd
196194,3rd
222490,3rd
248669,3rd
276571,3rd
309502,3rd
027175,3rd
053504,3rd
073133,3rd
108336,3rd
132962,3rd
165072,3rd
197438,3rd
224408,3rd
248689,3rd
277237,3rd
309548,3rd
027441,3rd
053965,3rd
074525,3rd
109517,3rd
133886,3rd
166001,3rd
197827,3rd
224416,3rd
248695,3rd
277251,3rd
309914,3rd
028830,3rd
054036,3rd
074661,3rd
110027,3rd
134143,3rd
166012,3rd
198139,3rd
224662,3rd
248916,3rd
277431,3rd
309994,3rd
028840,3rd
054196,3rd
074825,3rd
110203,3rd
134270,3rd
166363,3rd
198898,3rd
225646,3rd
249637,3rd
277954,3rd
310826,3rd
031419,3rd
054376,3rd
075696,3rd
110416,3rd
134384,3rd
167157,3rd
199098,3rd
225681,3rd
251192,3rd
277980,3rd
312172,3rd
032301,3rd
054382,3rd
077252,3rd
110555,3rd
134430,3rd
168358,3rd
199696,3rd
225780,3rd
252023,3rd
280675,3rd
312296,3rd
032690,3rd
054885,3rd
078056,3rd
111433,3rd
134617,3rd
168462,3rd
199977,3rd
226087,3rd
252080,3rd
280682,3rd
313335,3rd
032927,3rd
055553,3rd
078578,3rd
112328,3rd
134863,3rd
169518,3rd
200297,3rd
227090,3rd
253287,3rd
281629,3rd
315045,3rd
033016,3rd
055923,3rd
078976,3rd
112536,3rd
135084,3rd
171374,3rd
201059,3rd
227133,3rd
253981,3rd
282112,3rd
315994,3rd
316051,3rd
348163,3rd
377626,3rd
407992,3rd
434309,3rd
465815,3rd
497368,3rd
526502,3rd
563335,3rd
591921,3rd
