number,prize
439845,1st
394976,2nd
498391,2nd
555206,2nd
000084,3rd
032574,3rd
062918,3rd
096006,3rd
127748,3rd
159016,3rd
189087,3rd
229278,3rd
262816,3rd
303993,3rd
336118,3rd
000846,3rd
032917,3rd
064513,3rd
096497,3rd
128008,3rd
159239,3rd
190575,3rd
230202,3rd
262948,3rd
304352,3rd
336378,3rd
001554,3rd
034071,3rd
065414,3rd
096856,3rd
130137,3rd
160126,3rd
190817,3rd
230292,3rd
262998,3rd
305175,3rd
336508,3rd
002590,3rd
034640,3rd
065694,3rd
096898,3rd
130417,3rd
160428,3rd
190908,3rd
230313,3rd
263178,3rd
306629,3rd
337014,3rd
003667,3rd
035491,3rd
066040,3rd
097522,3rd
130710,3rd
160674,3rd
192089,3rd
230403,3rd
263285,3rd
306890,3rd
340293,3rd
003900,3rd
036715,3rd
066592,3rd
098013,3rd
131179,3rd
160902,3rd
192704,3rd
232652,3rd
263640,3rd
307158,3rd
340513,3rd
005084,3rd
036859,3rd
067908,3rd
098165,3rd
132465,3rd
161157,3rd
193983,3rd
232946,3rd
264186,3rd
307746,3rd
341198,3rd
006132,3rd
036939,3rd
068242,3rd
098345,3rd
132612,3rd
162059,3rd
195646,3rd
233056,3rd
266373,3rd
307943,3rd
341634,3rd
006400,3rd
037342,3rd
068483,3rd
099137,3rd
132746,3rd
162538,3rd
196048,3rd
233742,3rd
267193,3rd
308919,3rd
342044,3rd
006781,3rd
037691,3rd
069463,3rd
099169,3rd
133557,3rd
164011,3rd
197079,3rd
234252,3rd
267866,3rd
309148,3rd
342548,3rd
007365,3rd
037917,3rd
069554,3rd
099737,3rd
133892,3rd
164767,3rd
198748,3rd
236822,3rd
269347,3rd
309936,3rd
342630,3rd
011522,3rd
037943,3rd
070186,3rd
100197,3rd
134603,3rd
164779,3rd
200533,3rd
237546,3rd
269765,3rd
310311,3rd
344217,3rd
012561,3rd
037989,3rd
071601,3rd
100701,3rd
135668,3rd
164950,3rd
201002,3rd
237760,3rd
270613,3rd
312795,3rd
344483,3rd
012982,3rd
038089,3rd
071767,3rd
101031,3rd
136653,3rd
165322,3rd
201102,3rd
237942,3rd
271352,3rd
313185,3rd
344556,3rd
013473,3rd
038158,3rd
072106,3rd
102170,3rd
137300,3rd
165436,3rd
201638,3rd
238531,3rd
271538,3rd
315082,3rd
344689,3rd
013503,3rd
038225,3rd
072750,3rd
102925,3rd
137375,3rd
165626,3rd
202527,3rd
239472,3rd
271977,3rd
315163,3rd
344839,3rd
014255,3rd
038464,3rd
073666,3rd
103429,3rd
137499,3rd
166291,3rd
202556,3rd
240252,3rd
273632,3rd
315400,3rd
345116,3rd
015785,3rd
038697,3rd
074286,3rd
104377,3rd
137553,3rd
166534,3rd
202971,3rd
240530,3rd
274025,3rd
315576,3rd
345164,3rd
015968,3rd
039485,3rd
074858,3rd
104467,3rd
139352,3rd
166708,3rd
205237,3rd
241670,3rd
274667,3rd
315987,3rd
345879,3rd
018255,3rd
039672,3rd
075006,3rd
104523,3rd
139771,3rd
167460,3rd
206157,3rd
242377,3rd
276014,3rd
316074,3rd
345940,3rd
018431,3rd
040680,3rd
075286,3rd
105728,3rd
140625,3rd
167509,3rd
206668,3rd
244475,3rd
278334,3rd
316391,3rd
346015,3rd
018591,3rd
041395,3rd
075608,3rd
106247,3rd
140829,3rd
168597,3rd
206713,3rd
244886,3rd
278444,3rd
316904,3rd
346567,3rd
019361,3rd
041587,3rd
075688,3rd
106480,3rd
141058,3rd
169150,3rd
206812,3rd
246187,3rd
281578,3rd
317343,3rd
346803,3rd
019843,3rd
041864,3rd
076422,3rd
107152,3rd
141210,3rd
169616,3rd
206957,3rd
246627,3rd
281797,3rd
317615,3rd
347665,3rd
020950,3rd
042249,3rd
076662,3rd
108007,3rd
141716,3rd
170729,3rd
208122,3rd
247475,3rd
282804,3rd
318348,3rd
348757,3rd
021276,3rd
044275,3rd
