number,prize
171732,1st
239810,2nd
496333,2nd
989615,2nd
000177,3rd
042172,3rd
071456,3rd
116382,3rd
158974,3rd
195105,3rd
000373,3rd
042593,3rd
071594,3rd
118341,3rd
160230,3rd
195702,3rd
000388,3rd
042726,3rd
071974,3rd
119108,3rd
160299,3rd
195910,3rd
000417,3rd
043335,3rd
072066,3rd
119355,3rd
160388,3rd
197229,3rd
000846,3rd
044297,3rd
073537,3rd
121501,3rd
160846,3rd
197270,3rd
001667,3rd
044577,3rd
074423,3rd
122552,3rd
162655,3rd
197829,3rd
002433,3rd
044637,3rd
076314,3rd
123076,3rd
163137,3rd
198466,3rd
006284,3rd
045109,3rd
077362,3rd
123235,3rd
163220,3rd
199100,3rd
008440,3rd
045114,3rd
079971,3rd
123275,3rd
164034,3rd
200140,3rd
008988,3rd
045182,3rd
081413,3rd
123851,3rd
165239,3rd
201741,3rd
009227,3rd
045977,3rd
081804,3rd
123930,3rd
165869,3rd
202014,3rd
009997,3rd
047402,3rd
082110,3rd
125770,3rd
166910,3rd
202632,3rd
010152,3rd
047437,3rd
082405,3rd
127552,3rd
167741,3rd
203637,3rd
010232,3rd
047486,3rd
086332,3rd
128456,3rd
168783,3rd
204055,3rd
010334,3rd
047519,3rd
087132,3rd
130682,3rd
168977,3rd
205379,3rd
010506,3rd
047584,3rd
089651,3rd
131985,3rd
169025,3rd
205470,3rd
012543,3rd
048162,3rd
090427,3rd
132656,3rd
169710,3rd
206378,3rd
013121,3rd
048457,3rd
091170,3rd
132670,3rd
171916,3rd
207288,3rd
013834,3rd
048508,3rd
092182,3rd
134877,3rd
173006,3rd
207864,3rd
014923,3rd
048697,3rd
094166,3rd
135146,3rd
173641,3rd
210293,3rd
016133,3rd
048907,3rd
094211,3rd
135732,3rd
173663,3rd
211807,3rd
017358,3rd
049008,3rd
094279,3rd
136136,3rd
173796,3rd
213385,3rd
017647,3rd
049160,3rd
096252,3rd
137090,3rd
174149,3rd
213692,3rd
019715,3rd
049249,3rd
096412,3rd
137619,3rd
174241,3rd
213903,3rd
020144,3rd
051940,3rd
096712,3rd
137903,3rd
174916,3rd
213904,3rd
020267,3rd
053968,3rd
096901,3rd
139182,3rd
175173,3rd
213966,3rd
020954,3rd
054403,3rd
098783,3rd
139874,3rd
176041,3rd
215809,3rd
021654,3rd
054757,3rd
099056,3rd
140178,3rd
176235,3rd
215934,3rd
021749,3rd
055075,3rd
099375,3rd
140549,3rd
176400,3rd
216536,3rd
022426,3rd
056010,3rd
099583,3rd
141235,3rd
176436,3rd
216751,3rd
022466,3rd
056170,3rd
099638,3rd
141913,3rd
177332,3rd
216809,3rd
023272,3rd
056598,3rd
102238,3rd
143276,3rd
177771,3rd
217307,3rd
024180,3rd
056765,3rd
102510,3rd
146136,3rd
178361,3rd
221759,3rd
024515,3rd
056784,3rd
104115,3rd
148508,3rd
179428,3rd
222686,3rd
025542,3rd
057029,3rd
106401,3rd
149985,3rd
179874,3rd
223985,3rd
025773,3rd
058509,3rd
107211,3rd
150127,3rd
181222,3rd
224318,3rd
026450,3rd
058617,3rd
107572,3rd
150335,3rd
183222,3rd
224787,3rd
027117,3rd
059440,3rd
107993,3rd
150675,3rd
184892,3rd
224892,3rd
028673,3rd
059646,3rd
108694,3rd
151478,3rd
185043,3rd
225438,3rd
030551,3rd
060784,3rd
110267,3rd
152734,3rd
185251,3rd
229611,3rd
033142,3rd
061147,3rd
111578,3rd
152864,3rd
185611,3rd
230296,3rd
034153,3rd
062344,3rd
111830,3rd
153089,3rd
186369,3rd
230926,3rd
035161,3rd
063845,3rd
112200,3rd
153792,3rd
186477,3rd
231355,3rd
035490,3rd
064882,3rd
112901,3rd
154359,3rd
187736,3rd
232032,3rd
035809,3rd
066042,3rd
112919,3rd
155488,3rd
187744,3rd
232121,3rd
036101,3rd
066183,3rd
113018,3rd
155677,3rd
189649,3rd
232357,3rd
036443,3rd
066528,3rd
113119,3rd
155919,3rd
190783,3rd
232961,3rd
036857,3rd
067689,3rd
113452,3rd
156192,3rd
191848,3rd
234976,3rd
040892,3rd
068949,3rd
113675,3rd
156994,3rd
192485,3rd
235466,3rd
041122,3rd
069502,3rd
113718,3rd
157565,3rd
193320,3rd
236747,3rd
041395,3rd
070304,3rd
114455,3rd
158460,3rd
194433,3rd
239598,3rd
041504,3rd
070479,3rd
115945,3rd
158509,3rd
194476,3rd
239739,3rd
239969,3rd
282983,3rd
318893,3rd
362257,3rd
407638,3rd
241198,3rd
283942,3rd
319892,3rd
362710,3rd
407770,3rd
242358,3rd
284262,3rd
320333,3rd
362781,3rd
408868,3rd
242548,3rd
285201,3rd
322028,3rd
363301,3rd
409252,3rd
245706,3rd
285307,3rd
322674,3rd
364616,3rd
409453,3rd
246997,3rd
285387,3rd
324388,3rd
364751,3rd
411923,3rd
248541,3rd
286012,3rd
324406,3rd
365295,3rd
412366,3rd
249850,3rd
286675,3rd
327640,3rd
365765,3rd
412560,3rd
251015,3rd
286925,3rd
327757,3rd
365786,3rd
412973,3rd
251137,3rd
287842,3rd
328734,3rd
366951,3rd
414201,3rd
251155,3rd
288963,3rd
328881,3rd
370031,3rd
414411,3rd
251535,3rd
289811,3rd
329864,3rd
370092,3rd
414513,3rd
252571,3rd
290562,3rd
329913,3rd
371773,3rd
415663,3rd
252614,3rd
292034,3rd
330098,3rd
371798,3rd
415782,3rd
252781,3rd
293085,3rd
332502,3rd
371851,3rd
416562,3rd
253264,3rd
293319,3rd
332637,3rd
372063,3rd
416964,3rd
254942,3rd
293374,3rd
332760,3rd
373187,3rd
417882,3rd
255200,3rd
293614,3rd
333035,3rd
374669,3rd
421082,3rd
255609,3rd
293841,3rd
334587,3rd
375193,3rd
423328,3rd
256771,3rd
293952,3rd
335198,3rd
376366,3rd
423927,3rd
256828,3rd
294200,3rd
335796,3rd
376900,3rd
423944,3rd
259664,3rd
295860,3rd
336843,3rd
377040,3rd
425062,3rd
261411,3rd
296514,3rd
337808,3rd
379971,3rd
428417,3rd
262975,3rd
298139,3rd
337922,3rd
382819,3rd
428685,3rd
264500,3rd
298146,3rd
338085,3rd
385152,3rd
429149,3rd
264792,3rd
304632,3rd
338784,3rd
386136,3rd
429563,3rd
265770,3rd
304954,3rd
339543,3rd
386375,3rd
429836,3rd
265813,3rd
305461,3rd
340565,3rd
386901,3rd
430350,3rd
266022,3rd
305674,3rd
341582,3rd
387911,3rd
430491,3rd
266167,3rd
305837,3rd
