number,prize
991149,1st
008228,2nd
397667,2nd
951818,2nd
000181,3rd
031469,3rd
084582,3rd
125283,3rd
159382,3rd
197688,3rd
246236,3rd
283078,3rd
334040,3rd
383083,3rd
429399,3rd
469801,3rd
000265,3rd
031692,3rd
085398,3rd
125449,3rd
159434,3rd
198241,3rd
246580,3rd
283122,3rd
334231,3rd
384415,3rd
430041,3rd
470998,3rd
001449,3rd
033644,3rd
087067,3rd
127762,3rd
164409,3rd
198271,3rd
250066,3rd
283666,3rd
334744,3rd
385383,3rd
430243,3rd
472283,3rd
001646,3rd
035751,3rd
088182,3rd
127926,3rd
164634,3rd
198990,3rd
250730,3rd
285371,3rd
335199,3rd
387059,3rd
431149,3rd
472559,3rd
001890,3rd
037262,3rd
088450,3rd
128234,3rd
165897,3rd
199177,3rd
250773,3rd
287362,3rd
337299,3rd
387490,3rd
431686,3rd
473064,3rd
001949,3rd
037901,3rd
090367,3rd
129008,3rd
167480,3rd
200603,3rd
252309,3rd
287732,3rd
340525,3rd
387901,3rd
432659,3rd
474089,3rd
002329,3rd
038022,3rd
091489,3rd
129352,3rd
167946,3rd
201294,3rd
253610,3rd
289351,3rd
341012,3rd
388439,3rd
434217,3rd
475160,3rd
002554,3rd
038325,3rd
093023,3rd
129372,3rd
170193,3rd
202020,3rd
253626,3rd
289392,3rd
341049,3rd
388907,3rd
434247,3rd
475304,3rd
003419,3rd
042142,3rd
093804,3rd
129783,3rd
171364,3rd
203469,3rd
253803,3rd
290694,3rd
341528,3rd
389859,3rd
434468,3rd
475663,3rd
003712,3rd
043162,3rd
094086,3rd
129790,3rd
171601,3rd
203495,3rd
253820,3rd
290809,3rd
345939,3rd
390175,3rd
435469,3rd
475898,3rd
003802,3rd
044103,3rd
096278,3rd
131350,3rd
172233,3rd
203499,3rd
254388,3rd
291857,3rd
346315,3rd
391250,3rd
437178,3rd
478941,3rd
004149,3rd
044328,3rd
096445,3rd
132637,3rd
172422,3rd
203995,3rd
255683,3rd
291890,3rd
347058,3rd
391544,3rd
438159,3rd
480640,3rd
004331,3rd
046125,3rd
097227,3rd
133223,3rd
173063,3rd
206995,3rd
256110,3rd
291895,3rd
347614,3rd
393779,3rd
438518,3rd
482197,3rd
005594,3rd
047433,3rd
097277,3rd
133259,3rd
173663,3rd
207653,3rd
256155,3rd
295552,3rd
348179,3rd
393882,3rd
439488,3rd
484215,3rd
007601,3rd
047461,3rd
097327,3rd
134571,3rd
173933,3rd
207866,3rd
256406,3rd
296337,3rd
349278,3rd
394229,3rd
439824,3rd
484603,3rd
008232,3rd
048933,3rd
098090,3rd
136578,3rd
175610,3rd
208135,3rd
256913,3rd
297604,3rd
350200,3rd
394346,3rd
439879,3rd
486646,3rd
009327,3rd
049544,3rd
098929,3rd
136834,3rd
175881,3rd
208691,3rd
257353,3rd
298929,3rd
350226,3rd
395133,3rd
440123,3rd
487016,3rd
009358,3rd
050859,3rd
099526,3rd
137186,3rd
176796,3rd
208971,3rd
257567,3rd
304013,3rd
351048,3rd
395636,3rd
440535,3rd
487325,3rd
009592,3rd
051148,3rd
099582,3rd
137351,3rd
177232,3rd
209701,3rd
257848,3rd
304488,3rd
351546,3rd
396035,3rd
440791,3rd
489106,3rd
010104,3rd
054329,3rd
100858,3rd
137680,3rd
177535,3rd
210696,3rd
258278,3rd
306507,3rd
352664,3rd
396762,3rd
442189,3rd
491228,3rd
010464,3rd
056901,3rd
103271,3rd
138635,3rd
178780,3rd
210711,3rd
